Time (hours),Normalized reqs/sec
0,4.209318345
0.083623693,3.511461082
0.167247387,4.375242984
0.25087108,24.3503994
0.334494774,3.406076583
0.418118467,8.754683476
0.50174216,5.399011552
0.585365854,4.506847055
0.668989547,3.147452883
0.75261324,4.25970413
0.836236934,3.154109341
0.919860627,3.151568328
1.003484321,3.929339631
1.087108014,1.560673996
1.170731707,13.74706267
1.254355401,3.045448909
1.337979094,2.550290191
1.421602787,19.02879251
1.505226481,2.665475764
1.588850174,2.111259795
1.672473868,17.47338049
1.756097561,18.36202464
1.839721254,3.737632212
1.923344948,19.90178971
2.006968641,17.71879482
2.090592334,3.785323731
2.174216028,2.398446182
2.257839721,4.076318575
2.341463415,3.00330002
2.425087108,3.342838266
2.508710801,20.47662553
2.592334495,5.699117248
2.675958188,3.648583231
2.759581882,2.500966154
2.843205575,4.567414529
2.926829268,11.07724588
3.010452962,3.892963355
3.094076655,1.509690354
3.177700348,2.203707207
3.261324042,29.19398407
3.344947735,4.475010332
3.428571429,3.851755064
3.512195122,21.74349924
3.595818815,3.332496499
3.679442509,2.038484233
3.763066202,2.872290163
3.846689895,3.157163446
3.930313589,21.27396331
4.013937282,4.041062147
4.097560976,1.725791626
4.181184669,4.019593439
4.264808362,3.240201926
4.348432056,2.919462747
4.432055749,4.335664618
4.515679443,12.74612631
4.599303136,4.686917252
4.682926829,2.741095893
4.766550523,3.323584856
4.850174216,4.027483848
4.933797909,4.735565607
5.017421603,3.136792503
5.101045296,19.2487005
5.18466899,2.447527108
5.268292683,2.348755908
5.351916376,4.556403298
5.43554007,8.817375881
5.519163763,3.584276089
5.602787456,22.75370244
5.68641115,15.67389604
5.770034843,11.56344421
5.853658537,4.060599864
5.93728223,5.353757821
6.020905923,3.624043304
6.104529617,5.38299968
6.18815331,12.94679589
6.271777003,4.566708507
6.355400697,3.759083934
6.43902439,3.334800435
6.522648084,16.18324812
6.606271777,1.479028883
6.68989547,3.4219921
6.773519164,4.055892702
6.857142857,5.287659679
6.940766551,3.093825039
7.024390244,2.774862252
7.108013937,3.111973432
7.191637631,17.23498731
7.275261324,19.33780589
7.358885017,3.081197256
7.442508711,4.227510815
7.526132404,3.770107684
7.609756098,4.727982184
7.693379791,20.58614725
7.777003484,28.17790966
7.860627178,12.50092538
7.944250871,13.11849675
8.027874564,16.37121017
8.111498258,3.950323318
8.195121951,3.669036837
8.278745645,20.55039153
8.362369338,2.10788904
8.445993031,3.20111725
8.529616725,15.15623631
8.613240418,2.781694159
8.696864111,3.486159974
8.780487805,4.107479056
